tag,Chromis.chromis,Coris.julis,Diplodus.cervinus,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.costae,Epinephelus.marginatus,Mycteroperca.rubra,Parupeneus.forsskali,Pterois.miles,Sargocentron.rubrum,Serranus.cabrilla,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Thalassoma.pavo,Torquigener.flavimaculosus,total,site_id,transect,site,reserve,sample_date,sample_year,depth,depth_category,season,visibility,long,lat,myReserve,date_char,N.S,Sediment,Algae,H,S,simp,J,Rugosity,SD,VerRelief,Slope,Curvature,mean_depth,LogVR,% Rock in 1500m radius
AchzivR251Fall2020,30,10,0,0,0,0,5,2,0,0,0,2,0,0,0,3,0,52,Achziv25,1,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.12716763,0.849710983,1.274755497,6,0.61464497,0.711454589,1.062184132,0.957144737,4.3993,0.021925882,0.042173913,23.41645391,1.481445437,0.633
AchzivR251Fall2021,5,2,0,0,0,0,1,15,5,2,4,0,0,0,0,0,0,34,Achziv25,1,Achziv,R,28/11/2021,2021,25,25,Fall,12,35.092,33.073,R,28/11/2021,N,0.314685315,0.146853147,1.613628221,7,0.740484429,0.829240868,1.029148245,0.453783625,1.4869,0.011116812,0.045609756,26.53580515,0.396693416,0.633
AchzivR252Fall2020,7,6,0,0,0,1,0,6,1,0,6,1,0,5,5,0,0,38,Achziv25,2,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.081761006,0.849056604,2.006864565,9,0.854570637,0.913363425,1.042550883,0.512024936,1.814,0.009227056,0.048571429,24.63557071,0.595534352,0.633
AchzivR252Fall2021,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,8,Achziv25,2,Achziv,R,28/11/2021,2021,25,25,Fall,10,35.092,33.073,R,28/11/2021,N,0.281481481,0.177777778,0.974314753,3,0.59375,0.886859507,1.036286026,0.37295169,1.6271,0.009262858,0.052857143,28.07724219,0.486799289,0.633
AchzivR253Fall2020,46,7,0,0,0,0,4,3,1,0,6,0,0,0,10,0,0,77,Achziv25,3,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.087431694,0.885245902,1.326191171,7,0.607522348,0.681527444,1.021679787,0.137801018,0.6028,0.00072029,0.060588235,22.34297458,-0.506169812,0.633
AchzivR253Fall2021,3,0,0,0,0,0,1,4,15,1,2,0,0,0,0,0,0,26,Achziv25,3,Achziv,R,28/11/2021,2021,25,25,Fall,10,35.092,33.073,R,28/11/2021,N,0.198630137,0.061643836,1.302401858,6,0.621301775,0.726884317,1.024327663,0.188739642,0.7116,0.003206756,0.063076923,24.99430377,-0.340239323,0.633
AchzivR254Fall2020,10,12,0,0,0,0,0,5,2,0,1,1,0,0,20,3,0,54,Achziv25,4,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.091954023,0.890804598,1.665119288,8,0.765432099,0.800753113,1.042406549,0.433437787,1.821,0.011697292,0.0552,22.62236296,0.599385801,0.633
AchzivR254Fall2021,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,10,1,32,Achziv25,4,Achziv,R,28/11/2021,2021,25,25,Fall,10,35.092,33.073,R,28/11/2021,N,0.104895105,0.048951049,1.017349045,4,0.576171875,0.733862211,1.035902793,0.833049765,2.4288,0.023713175,0.071578947,26.50931456,0.887397308,0.633
AshkelonN301Fall2020,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,Ashkelon30,1,Ashkelon,N,26/10/2020,2020,30,25,Fall,5,34.511,31.681,N,26/10/2020,S,0.719101124,0,0,1,0,NA,1.18092234,0.547869699,2.4097,0.000213847,0.104411765,31.40073357,0.879502258,0.873
AshkelonN301Fall2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashkelon30,1,Ashkelon,N,24/10/2021,2021,30,25,Fall,3,34.511,31.681,N,24/10/2021,S,0.81773399,0,0,0,1,0,1.111491738,0.489702065,2.1328,0.007018938,0.109032258,30.81939624,0.75743567,0.873
AshkelonN302Fall2020,2,0,3,0,0,0,3,0,1,0,1,0,0,0,0,1,0,11,Ashkelon30,2,Ashkelon,N,26/10/2020,2020,30,25,Fall,5,34.511,31.681,N,26/10/2020,S,0.465838509,0,1.672625446,6,0.79338843,0.933510036,1.124350295,0.637995261,2.4356,0.018677094,0.158571429,31.00756091,0.890193133,0.873
AshkelonN302Fall2021,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,Ashkelon30,2,Ashkelon,N,24/10/2021,2021,30,25,Fall,3,34.511,31.681,N,24/10/2021,S,0.858536585,0,0.636514168,2,0.444444444,0.918295834,1.195363418,0.55316223,2.1457,0.010675651,0.12804878,30.57729752,0.763465839,0.873
AshkelonN303Fall2020,50,0,51,4,1,0,2,2,0,0,1,0,0,0,0,2,0,113,Ashkelon30,3,Ashkelon,N,26/10/2020,2020,30,25,Fall,5,34.511,31.681,N,26/10/2020,S,0.437869822,0,1.135986774,8,0.598167437,0.546294162,1.126522039,0.452870384,2.1089,0.001518854,0.118076923,30.37504609,0.746166485,0.873
AshkelonN303Fall2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashkelon30,3,Ashkelon,N,24/10/2021,2021,30,25,Fall,3,34.511,31.681,N,24/10/2021,S,0.75,0,0,0,1,0,1.026801873,0.604287266,2.088,0.015263384,0.050909091,30.75572891,0.73620667,0.873
AshkelonN304Fall2020,6,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,13,Ashkelon30,4,Ashkelon,N,26/10/2020,2020,30,25,Fall,5,34.511,31.681,N,26/10/2020,S,0.621118012,0,1.377819508,5,0.698224852,0.856087394,1.072078409,0.346923962,1.3011,0.008890055,0.104444444,30.86428286,0.263210061,0.873
AshkelonN304Fall2021,10,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,14,Ashkelon30,4,Ashkelon,N,24/10/2021,2021,30,25,Fall,3,34.511,31.681,N,24/10/2021,S,0.502564103,0,0.895332666,4,0.459183673,0.645845999,NA,NA,NA,NA,NA,NA,NA,NA
SdotYamN251Fall2020,0,19,0,0,0,1,0,0,1,0,0,0,0,0,5,5,5,36,SdotYam25,1,SdotYam,N,13/10/2020,2020,25,25,Fall,10,34.87,32.511,FR,13/10/2020,N,0.175757576,0.666666667,1.358910347,6,0.662037037,0.758422305,1.047917633,0.130104388,1.2245,0.002334648,0.050285714,24.07353167,0.202532597,0.556
SdotYamN251Fall2021,24,10,0,0,0,0,0,0,12,0,0,0,0,0,0,2,6,54,SdotYam25,1,SdotYam,N,31/10/2021,2021,25,25,Fall,9,34.87,32.511,FR,31/10/2021,N,0.293193717,0.172774869,1.37315305,5,0.705075446,0.85318796,1.01017098,0.143038859,0.6867,0.002962762,0.052058824,24.23850211,-0.375857763,0.556
SdotYamN252Fall2020,0,0,0,0,0,10,1,42,3,0,0,0,0,0,0,1,0,57,SdotYam25,2,SdotYam,N,13/10/2020,2020,25,25,Fall,10,34.87,32.511,FR,13/10/2020,N,0.216666667,0.572222222,0.827194921,5,0.422899354,0.513965102,1.02153383,0.257354696,0.9741,0.004617574,0.038222222,26.37359733,-0.026241311,0.556
SdotYamN252Fall2021,0,6,0,0,0,8,6,24,52,0,0,0,2,0,0,0,4,102,SdotYam25,2,SdotYam,N,31/10/2021,2021,25,25,Fall,9,34.87,32.511,FR,31/10/2021,N,0.157635468,0.467980296,1.420991607,7,0.669742407,0.730245231,1.06505044,0.258960986,1.7387,0.004793043,0.078611111,26.61180579,0.553137708,0.556
SdotYamN253Fall2020,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8,SdotYam25,3,SdotYam,N,13/10/2020,2020,25,25,Fall,10,34.87,32.511,FR,13/10/2020,N,0.389830508,0.378531073,0.900256051,3,0.53125,0.819448372,1.020678644,0.791672259,2.5254,0.017660414,0.030555556,24.78278146,0.926399466,0.556
SdotYamN253Fall2021,0,10,0,0,0,0,0,2,10,0,0,0,0,0,60,0,4,86,SdotYam25,3,SdotYam,N,31/10/2021,2021,25,25,Fall,8,34.87,32.511,FR,31/10/2021,N,0.331730769,0.274038462,0.98174442,5,0.483504597,0.609992105,1.041969587,0.152649495,1.0976,0.003014594,0.090689655,24.47388542,0.093125978,0.556
SdotYamN254Fall2020,10,3,0,0,0,4,0,0,3,0,0,2,0,0,0,1,0,23,SdotYam25,4,SdotYam,N,13/10/2020,2020,25,25,Fall,10,34.87,32.511,FR,13/10/2020,N,0.317241379,0.296551724,1.546407413,6,0.737240076,0.86306641,1.025732933,0.503130519,1.6153,0.011177805,0.033409091,24.85500784,0.479520698,0.556
SdotYamN254Fall2021,40,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,2,48,SdotYam25,4,SdotYam,N,31/10/2021,2021,25,25,Fall,8,34.87,32.511,FR,31/10/2021,N,0.335025381,0.126903553,0.681610269,5,0.298611111,0.423508272,1.02307758,0.716539094,2.2008,0.021420307,0.053,26.04055089,0.788820931,0.556
SharonN301Fall2020,32,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,Sharon30,1,Sharon,N,27/10/2020,2020,30,25,Fall,8,34.7889,32.2371,N,27/10/2020,S,0.225433526,0.005780347,0.544225602,3,0.30243261,0.495375491,1.021864163,0.283946298,1.08746318,0.008318939,0.067692308,31.03197743,0.083847626,0.814
SharonN301Fall2021,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,29,Sharon30,1,Sharon,N,28/10/2021,2021,30,25,Fall,8,34.7889,32.2371,N,28/10/2021,S,0.637681159,0.101449275,0.928045225,4,0.549346017,0.669443122,1.01825271,0.385965548,1.22947893,0.012761953,0.071333333,31.36182767,0.206590445,0.814
SharonN302Fall2020,5,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,13,Sharon30,2,Sharon,N,27/10/2020,2020,30,25,Fall,5,34.7889,32.2371,N,27/10/2020,S,0.365714286,0.057142857,1.265856752,4,0.698224852,0.913122629,1.028751796,0.572046794,2.06667661,0.019705027,0.094,31.90972735,0.725941815,0.814
SharonN302Fall2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sharon30,2,Sharon,N,28/10/2021,2021,30,25,Fall,8,34.7889,32.2371,N,28/10/2021,S,0.551569507,0.085201794,0,1,0,NA,1.039739117,0.639933473,2.38844653,0.018594547,0.066097561,32.32449632,0.870643167,0.814
SharonN303Fall2020,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,30,Sharon30,3,Sharon,N,27/10/2020,2020,30,25,Fall,5,34.7889,32.2371,N,27/10/2020,S,0.526315789,0.005847953,0.693147181,2,0.5,1,1.024016151,0.471404608,1.48471001,0.018587035,0.108965517,26.59458023,0.395219474,0.814
SharonN303Fall2021,0,0,0,0,0,0,3,21,2,0,0,0,0,0,0,0,0,26,Sharon30,3,Sharon,N,28/10/2021,2021,30,25,Fall,8,34.7889,32.2371,N,28/10/2021,S,0.589473684,0.015789474,0.618977214,3,0.328402367,0.563417341,1.025469504,0.148299437,0.64850544,0.001181357,0.0425,27.43300488,-0.433084887,0.814
SharonN304Fall2020,0,4,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,10,Sharon30,4,Sharon,N,27/10/2020,2020,30,25,Fall,7,34.7889,32.2371,N,27/10/2020,S,0.54491018,0.02994012,1.279854226,4,0.7,0.923219672,1.03770468,0.622285676,1.84918397,0.018705368,0.065,28.32732056,0.614744444,0.814
SharonN304Fall2021,30,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,36,Sharon30,4,Sharon,N,28/10/2021,2021,30,25,Fall,8,34.7889,32.2371,N,28/10/2021,S,0.472906404,0.068965517,0.619128586,4,0.294753086,0.446606871,1.041388995,0.514299515,1.93459203,0.015188734,0.097142857,29.12661626,0.659896467,0.814
